iter	Logloss
0	0.6477436017
1	0.6077562749
2	0.5734370136
3	0.5420243805
4	0.5156586217
5	0.494138481
6	0.4753702661
7	0.4590549277
8	0.4429819494
9	0.4314216493
10	0.4193477476
11	0.4125676669
12	0.4035812905
13	0.3951482866
14	0.3881808841
15	0.3825140308
16	0.3779713345
17	0.3734810339
18	0.3695130064
19	0.3651024831
20	0.3604420351
21	0.3572408051
22	0.3544238112
23	0.3513584606
24	0.3494625027
25	0.3468436791
26	0.3446232517
27	0.3427332135
28	0.3405562312
29	0.3388877914
30	0.3369177276
31	0.3357320122
32	0.3341351449
33	0.3329026566
34	0.3309083207
35	0.3296970782
36	0.3284738502
37	0.3277071849
38	0.3265439421
39	0.3258570941
40	0.3252223893
41	0.3241919336
42	0.323382417
43	0.3226800723
44	0.3219711281
45	0.3211738531
46	0.3205847028
47	0.3199796898
48	0.3189670229
49	0.3181648499
50	0.3176006073
51	0.3170880403
52	0.3162234381
53	0.3158513062
54	0.315251159
55	0.3147293092
56	0.3141938497
57	0.3138072052
58	0.3131431389
59	0.3127913214
60	0.3119876586
61	0.3114603914
62	0.3106560935
63	0.3104006511
64	0.3100679302
65	0.3098363647
66	0.3095431034
67	0.3094452504
68	0.3090119893
69	0.3087439747
70	0.3084299543
71	0.3081563816
72	0.3077872214
73	0.3074591976
74	0.3066103045
75	0.3064349659
76	0.3060737711
77	0.3057818224
78	0.3055414806
79	0.3052895324
80	0.3049111657
81	0.3047511624
82	0.3045145977
83	0.3042478917
84	0.303921265
85	0.3037784488
86	0.3036395611
87	0.3033294771
88	0.3030357686
89	0.3026153725
90	0.3024297264
91	0.3020382431
92	0.3018066787
93	0.3016107638
94	0.3014785175
95	0.3013362613
96	0.3012160811
97	0.3011030654
98	0.3009400857
99	0.3005888586
100	0.3004153719
101	0.3003271588
102	0.3000030648
103	0.2998388165
104	0.2997349838
105	0.2995021839
106	0.2992050187
107	0.2990804359
108	0.2988381809
109	0.2986848442
110	0.2984487284
111	0.2982773137
112	0.2979170056
113	0.2977601516
114	0.2976673723
115	0.2975352284
116	0.2974100884
117	0.2972546985
118	0.2971680919
119	0.297088777
120	0.2969617581
121	0.2968496635
122	0.2967629479
123	0.296636421
124	0.296569722
125	0.2964569459
126	0.2959399627
127	0.295744164
128	0.2955180669
129	0.2954618996
130	0.2954186826
131	0.2952604359
132	0.2952022906
133	0.2951329652
134	0.2950058877
135	0.2949000878
136	0.294769214
137	0.2945767039
138	0.2945109411
139	0.294452862
140	0.2943294223
141	0.2940782192
142	0.2940202655
143	0.2938575435
144	0.2937865622
145	0.2936670461
146	0.293575884
147	0.2934504492
148	0.2931824245
149	0.293114755
150	0.2929890901
151	0.292809779
152	0.2927179702
153	0.2926055655
154	0.2924537749
155	0.2923401057
156	0.2920328361
157	0.2919926573
158	0.2919342334
159	0.2918733952
160	0.291771724
161	0.2917576627
162	0.291691658
163	0.2913662314
164	0.291216744
165	0.2911600093
166	0.2908880876
167	0.2907231691
168	0.290660526
169	0.2905767383
170	0.2904818391
171	0.2904657189
172	0.2904308547
173	0.290366819
174	0.2902967811
175	0.2902252885
176	0.2901688572
177	0.2901517132
178	0.2901037856
179	0.2900500134
180	0.2898834092
181	0.2897788537
182	0.2895967056
183	0.2895494472
184	0.2894273941
185	0.2893468012
186	0.2891759197
187	0.2891065322
188	0.288830233
189	0.2887843356
190	0.2887241602
191	0.2886283127
192	0.2881755316
193	0.2880905849
194	0.2879782409
195	0.2879502049
196	0.2875593586
197	0.2875575238
198	0.2874774203
199	0.2874272286
