iter	Passed	Remaining
0	53	10647
1	98	9728
2	144	9503
3	195	9577
4	251	9816
5	308	9967
6	361	9964
7	404	9703
8	447	9492
9	499	9496
10	553	9506
11	594	9319
12	649	9337
13	699	9287
14	786	9694
15	843	9698
16	893	9623
17	938	9487
18	994	9469
19	1043	9393
20	1093	9319
21	1174	9502
22	1228	9455
23	1271	9323
24	1318	9229
25	1362	9120
26	1402	8986
27	1443	8864
28	1482	8738
29	1523	8632
30	1564	8527
31	1602	8414
32	1643	8319
33	1683	8218
34	1728	8149
35	1774	8084
36	1818	8009
37	1857	7920
38	1902	7852
39	1946	7784
40	1989	7716
41	2035	7658
42	2081	7598
43	2124	7533
44	2174	7488
45	2221	7438
46	2267	7381
47	2317	7337
48	2364	7286
49	2413	7240
50	2455	7173
51	2500	7117
52	2545	7060
53	2585	6990
54	2662	7020
55	2701	6947
56	2748	6895
57	2791	6833
58	2833	6770
59	2874	6708
60	2914	6641
61	2956	6580
62	2995	6513
63	3032	6443
64	3098	6436
65	3149	6393
66	3203	6358
67	3253	6314
68	3301	6268
69	3354	6229
70	3405	6186
71	3459	6150
72	3510	6107
73	3557	6056
74	3625	6043
75	3666	5981
76	3707	5922
77	3752	5869
78	3807	5831
79	3867	5801
80	3930	5774
81	3991	5744
82	4041	5696
83	4086	5642
84	4137	5598
85	4181	5543
86	4220	5481
87	4267	5431
88	4308	5372
89	4355	5323
90	4397	5266
91	4438	5210
92	4477	5151
93	4516	5093
94	4555	5035
95	4594	4977
96	4634	4921
97	4667	4858
98	4707	4802
99	4752	4752
100	4792	4698
101	4833	4643
102	4874	4590
103	4914	4536
104	4956	4484
105	4998	4432
106	5037	4378
107	5073	4322
108	5115	4270
109	5155	4218
110	5199	4168
111	5239	4116
112	5279	4064
113	5318	4012
114	5356	3959
115	5396	3907
116	5434	3854
117	5471	3802
118	5513	3753
119	5554	3703
120	5593	3651
121	5630	3600
122	5670	3549
123	5711	3500
124	5751	3451
125	5793	3402
126	5832	3352
127	5875	3305
128	5916	3256
129	5952	3205
130	5993	3156
131	6040	3111
132	6080	3063
133	6117	3012
134	6159	2965
135	6204	2919
136	6248	2873
137	6291	2826
138	6333	2779
139	6373	2731
140	6407	2681
141	6450	2634
142	6489	2586
143	6529	2539
144	6567	2491
145	6607	2443
146	6646	2396
147	6690	2350
148	6731	2304
149	6773	2257
150	6811	2210
151	6852	2163
152	6895	2118
153	6936	2071
154	6976	2025
155	7012	1977
156	7051	1931
157	7087	1884
158	7131	1838
159	7174	1793
160	7212	1747
161	7252	1701
162	7297	1656
163	7339	1611
164	7383	1566
165	7421	1520
166	7463	1474
167	7501	1428
168	7542	1383
169	7580	1337
170	7624	1293
171	7651	1245
172	7692	1200
173	7735	1155
174	7775	1110
175	7814	1065
176	7852	1020
177	7895	975
178	7936	931
179	7973	885
180	8013	841
181	8053	796
182	8097	752
183	8137	707
184	8173	662
185	8212	618
186	8302	577
187	8352	533
188	8393	488
189	8433	443
190	8474	399
191	8512	354
192	8554	310
193	8593	265
194	8633	221
195	8675	177
196	8718	132
197	8748	88
198	8789	44
199	8827	0
